Conversation,Date
"@matttrakker Rate cases often aren't decided for many months after they are filed. So, the rate case approved in spring was filed last year.Additionally, DTE is on track to make $4 billion in investments this year. Based on a 10% ROE, that can justify such a rate increase.",2024-09-28
"Raised rates in spring for 350m, just asked for another increase this week of 400m… sounds like this thing is poorly managed.",2024-09-26
