Conversation,Date
Nice writing. It is worth menioning that higher operating costs are increasing due to their expansion plans in Houston and Dallas.,2024-08-28
"@Lurkie Thanks for reading and commenting! Yep, it's a gem of a bank. Class business, good long-term growth outlook - very little to complain about.",2024-08-28
"Thanks, Mark. Good coverage on this excellent stock and bank. Those of us in Texas know this Frost powerhouse well, and we also know it is one of the best run regional banks anywhere. Texas will grow even more, and so will Frost; I expect my shares to keep growing.",2024-08-26
