Conversation,Date
"Why didn't the stock jump considering the whole Grail penalty was unwound? EU does the damage  then says, oops, you were right! Maybe EU should compensate Illumina investors the 7 billion in valuation loss of Grail!?",2024-09-04
"@Another Mountain's Rock Investing ILMN knew GRAL's IP before, as it was one of their divisions before being spinned out.",2024-09-03
"acquire grail, learn all their IP, spin them off without needing to report Grail's extensive quarter losses.",2024-09-03
Here on the shop floor they are getting killed by Oxford nanopore. They have a lot of legacy business but any new labs will be using nanopore,2024-08-22
