Conversation,Date
@time1 Don't own or follow ITRM as nano cap and is in a hard niche.  Best,2024-09-05
@time1 @Bret Jensen @Bret Jensen are you still following $ITRM ?would love to hear your thoughts with upcoming PDUFA in oct 2024,2024-09-05
