Conversation,Date
"""The company said it expects to record an aggregate net loss of ~$520M on the completion of the offshore wind divesture, ""Wind projects get passed along at a loss from one investor to the other until the actually cost is low enough where some kind of profit can be made, while ratepayers and investors fund these ideological boondoggles.",2024-10-01
Page still reads ES does not currently pay a dividend,2024-09-13
