Conversation,Date
"@Chris Lau APP, PEGA, and GPN, in that order, seem really interesting.  TY!",2024-09-13
"GTA 6 and GTA 6 Online cashflow definitely not priced in. Do a simple calculation on 60 $ per game and expected sales like GTA 5, then we talk about billions above the 8  - in additional revenues for 2026-2029",2024-09-12
@RealRural QQQJ maybe?  Index fund though and newer so performance isn't that impressive yet.,2024-09-10
"@Pingili I'm not saying but today. in fact, I'm adding to bonds at this moment. but I have 4 off this list and will add as I deem appropriate. ddog I got for $80 and will add more shares at some point.",2024-09-10
"Good ideas and theory on this press release, but way too much research for this ancient investor. Anyone have recommendations if there is/are mid-cap tech ETFs or CEFs to look at? I'd be happy to get decent performance with diversified tech risk from a mid cap fund.",2024-09-10
"I actually see quite a few solid companies here with share prices that should appreciate considerably, if not immediately. Some names I don't recognize and a few I find questionable but overall not a bad list to generate some ideas for further research.Mid-caps are something my portfolio needs desparately and I would like to open ~5 positions in a few new stocks over the coming weeks (usually 1/4th to 1/3rd the size of what I consider a full position). I'd like at least 3 to be mid-caps. I'm really eyeing TER, but my portfolio is already considerably overweight in the semiconductor industry.",2024-09-10
