Conversation,Date
@The Investment Doctor $SFL looks interesting at current levels <$11 and close to 10% yield but went ex-div a few days ago...,2024-09-13
"@all Pyxis is calling the preferred shares. Expect two more monthly preferred dividends, and then I'll have to find a new home for the incoming cash.",2024-09-11
