Conversation,Date
"How is their coal business looking?You could have another East Coast dock strike come January with a big fight over automation and job security.Add in Hurricane damage.If Trump gets in heavy tariffs could affect imports and exports.  To me, CNI and UP might be less exposed overall to these extraneous events.",2024-10-06
@ARNOLDMUSCAT probably a good time for patience. They do have a good track record of consistency I am looking at buying down the road. It is why I wrote this article. Maybe 3-4 months. Mark,2024-09-10
"I have a small position and I am waiting for a ""recession"" pull back",2024-09-10
