Conversation,Date
"Barron’s says $23 was just an initial bid and there is room for 18-23% additional bump…my number is 28, and soon…stock trades well. Morningstar says Fair Value is $40. It is a great franchise and could appeal to a number of buyers because of its reputation for quality merchandise. Such a difference from Macy’s. If you want tailoring for a suit, Nordstrom is the only place to get it done. Macy’s sells suit pants and coats separately and does not do any tailoring.",2024-09-24
"@pakrolltide It might be pollyannish to say it out loud, but we either begin to ignore the onslaught of must-have or best-of lists, celebrity endorsers, and other nonsense, and strive for a simpler traditional holiday time, or our deficits and debts will do it to us.",2024-09-18
"@VoiceofSanitySometimes Update:  Mortgage report out this AM and refis up double digit % over last week and last year, while purchase mortgages up slightly week to week but still lower than last year.  Only a few weeks data so we need to see the broader trend, but certainly interesting and worth following.Could be good news for Christmas retail as consumers extend their debt, but we've seen this act before where homeowners over-extend themselves against their home equity....",2024-09-18
@Phil Dumfee Any company which uses Christmas as a prop to get people to spend but yet cannot utter the actual word Christmas will not get a single penny from me.,2024-09-18
People can barely afford bread and eggs but let's talk about Christmas spending!  How about talking honestly about the path of destruction the current administration is having on the middle class?,2024-09-18
@Phil Dumfee.. I think they will start with Christmas in June,2024-09-17
"Good article linked below from Motley Fool on household debt.www.fool.com/...Credit card debt is high, auto debt is high, and 6.5% 30-year refi rates make that an expensive option.Buried in the article is a chart of credit card debt increases over the last year or two by age group, and younger people (under 50) are adding large quantities.Americans have a knack for over-spending regardless of their debt situations, will be interesting to see if that continues given how ""debt-stretched"" they already are...",2024-09-17
"I started seeing Christmas decorations in Costco, Michaels and Target already. Don't remember seeing them this early before.",2024-09-17
