Conversation,Date
@The Value Investor The company is making a large CAPEX investment into the a cement plant. $430 million to modernize and expand our Mountain Cement facility in Wyoming. This should reduce cost by 25%. What amount is that 25% cost savings?,2024-09-22
What has allowed them to increase margins so much? How are they doing that? How cyclical is this company?,2024-09-13
