Conversation,Date
@sgossett I too have been amazed by the run. It was an F on valuation from Schwab at $290,2024-10-03
"AXON is a trump trade. Over 150x P/EBITDA, I think around 100 P/E... worth 3 times Nividia? Give me a break. This is a total meme stock by now. It's actually quite frustrating. I bought puts on it with 12% of my portfolio and it has went up since the strike.. insanity. Just goes to show not to mess with meme stocks. At least I've made 40% on my portfolio with vix calls for the strike. I learned a serious lesson from this AXON trade and my past CVNA puts.",2024-10-01
