Conversation,Date
"A little surprised by the valuation...while learning about repairing our A/C units I saw that the majority of HVAC techs are very unhappy with Lennox..their reliability, their service, their engineering etc...",2024-09-03
"I've got a big chunk of this that I had inherited (but couldn't dispose of immediately because Vanguard is a rotten custodian), so I have to wait until 2025 to unload it, as I'll have lots of spare income to take it as long-term capital-gains.  Just hold it together until Jan 2025.",2024-08-26
