Conversation,Date
"They specifically cited why they would not be on the UBER market place, and their reasoning made complete sense.  I think the UBER deal could be significant, but there are well known headwinds apart from that.  UBER will not help in the short term.",2024-09-20
"Woo Hoo!  Not bad, DRI! And with a 3.52% dividend, share buybacks, and a cost basis < $63.00, color me happy!",2024-09-19
Swing and a miss...... up 6%.  Definitely not in a bubble,2024-09-19
