Conversation,Date
"@EliasMouawad Thank you! I will take a look at NKE coverage to see if there is anything new or interesting I can add. If not, I will pass. Thanks for asking?",2024-09-17
"So whatever OC customers who compete with Masonite and bought fiber for pultruded doors, windows, etc will be looking for alternatives to OC negatively affecting their composites segment.  Need to watch this over time.",2024-09-10
