Conversation,Date
"I like what see here.  Similar story with $VCTR, which I already hold.  Expansion into European market, shareholder friendly, successful turnaround, great product offerings, exceptional performance.",2024-10-03
JHG has made an excellent investment as I picked up shares when the div was 5%. The management turnaround was successful and now we are tapping into growth! Love it.,2024-09-27
