Conversation,Date
"@ComputerBlue Bondurant was just as terrible. I remember years ago, literally every transaction they did was bad. If they sold something, someone else turned it into a money maker, if they bought something, it would nose-dive. Cardinal Gas Storage, divesting of storage at Corpus Christi right before Corpus Christi became a major export hub, buying the trucking business from MRMC, propane blending. The list goes on and on. Absolute buffoons.",2024-10-04
"@rrb1981 Absolutely, how a son can be so much worse than his father I don't understand.I bought in under $2 and got out at $3. I left $1 on the table, but I was glad to get out.",2024-10-03
