Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AMRN,Amarin Corporation plc,$0.5762,-0.0296,-4.886%,236916800.00,Ireland,,1286120,Health Care,Biotechnology: Pharmaceutical Preparations
CALM,Cal-Maine Foods Inc. Common Stock,$86.49,1.92,2.27%,4241173977.00,United States,1996,989713,Consumer Staples,Farming/Seeds/Milling
DOYU,DouYu International Holdings Limited ADS,$10.43,-0.28,-2.614%,329959037.00,China,2019,175654,Technology,Computer Software: Programming Data Processing
FGEN,FibroGen Inc Common Stock,$0.3426,-0.0241,-6.572%,34397309.00,United States,2014,2171375,Health Care,Biotechnology: Pharmaceutical Preparations
ME,23andMe Holding Co. Class A Common Stock,$0.3131,0.0183,6.208%,158431748.00,United States,,6628241,Health Care,Biotechnology: Pharmaceutical Preparations
UFCS,United Fire Group Inc. Common Stock,$19.29,-0.81,-4.03%,488733427.00,United States,,102972,Finance,Property-Casualty Insurers
XRX,Xerox Holdings Corporation Common Stock,$10.38,-0.11,-1.049%,1290563399.00,United States,,1403908,Technology,Computer peripheral equipment
